iter	Passed	Remaining
271	1849	4949
272	1852	4931
273	1854	4913
274	1857	4896
275	1862	4886
276	1865	4869
277	1868	4851
278	1870	4834
279	1873	4817
280	1880	4811
281	1891	4815
282	1893	4798
283	1903	4798
284	1906	4782
285	1919	4791
286	1922	4775
287	1925	4759
288	1930	4748
289	1934	4735
290	1937	4720
291	1941	4706
292	1948	4700
293	1952	4688
294	2011	4806
295	2013	4789
296	2016	4772
297	2019	4757
298	2072	4859
299	2075	4842
300	2077	4824
301	2082	4813
302	2087	4801
303	2090	4785
304	2092	4769
305	2101	4766
306	2105	4751
307	2109	4739
308	2140	4787
309	2146	4778
310	2152	4767
311	2154	4750
312	2157	4734
313	2167	4734
314	2169	4718
315	2173	4705
316	2184	4706
317	2188	4693
318	2196	4688
319	2207	4691
320	2211	4678
321	2216	4666
322	2218	4650
323	2224	4641
324	2227	4627
325	2231	4614
326	2234	4599
327	2243	4597
328	2247	4582
329	2265	4599
330	2268	4584
331	2277	4581
332	2280	4567
333	2282	4552
334	2288	4542
335	2293	4531
336	2296	4517
337	2298	4501
338	2300	4485
339	2324	4512
340	2326	4495
341	2335	4494
342	2338	4478
343	2341	4465
344	2344	4451
345	2351	4443
346	2353	4428
347	2356	4415
348	2359	4401
349	2368	4397
350	2371	4385
351	2375	4373
352	2378	4360
353	2382	4347
354	2384	4331
355	2448	4429
356	2458	4428
357	2463	4418
358	2470	4410
359	2476	4402
360	2478	4387
361	2481	4374
362	2488	4366
363	2492	4355
364	2542	4423
365	2546	4411
366	2549	4397
367	2555	4389
368	2574	4402
369	2577	4389
370	2580	4375
371	2591	4374
372	2593	4359
373	2596	4346
374	2600	4334
375	2603	4320
376	2612	4316
377	2617	4306
378	2619	4292
379	2626	4285
380	2629	4271
381	2631	4257
382	2634	4244
383	2637	4230
384	2644	4224
385	2660	4231
386	2674	4236
387	2681	4229
388	2683	4215
389	2687	4203
390	2690	4189
391	2692	4176
392	2698	4168
393	2701	4154
394	2704	4142
395	2707	4129
396	2723	4137
397	2727	4125
398	2731	4114
399	2734	4101
400	2737	4089
401	2740	4076
402	2746	4068
403	2749	4056
404	2751	4042
405	2754	4030
406	2767	4032
407	2770	4020
408	2778	4014
409	2780	4001
410	2782	3988
411	2785	3975
412	2787	3962
413	2792	3953
414	2795	3940
415	2797	3927
416	2806	3923
417	2809	3911
418	2813	3901
419	2815	3888
420	2822	3881
421	2824	3869
422	2827	3856
423	2829	3844
424	2837	3839
425	2854	3846
426	2856	3833
427	2859	3822
428	2863	3810
429	2869	3803
430	2872	3792
431	2875	3780
432	2879	3770
433	2883	3760
434	2885	3748
435	2888	3735
436	2901	3738
437	2905	3727
438	2927	3740
439	2932	3731
440	2934	3719
441	2936	3707
442	2938	3695
443	2944	3687
444	2949	3678
445	2952	3667
446	2954	3655
447	2957	3644
448	2960	3632
449	2969	3629
450	2973	3619
451	2980	3613
452	2982	3601
453	2985	3590
454	2987	3578
455	3008	3588
456	3012	3579
457	3015	3568
458	3018	3558
459	3021	3547
460	3027	3539
461	3029	3528
462	3033	3518
463	3036	3507
464	3039	3496
465	3043	3487
466	3067	3501
467	3070	3490
468	3075	3481
469	3081	3475
470	3084	3463
471	3086	3452
472	3091	3444
473	3094	3434
474	3097	3423
475	3099	3412
476	3102	3401
477	3113	3399
478	3117	3390
479	3123	3383
480	3125	3372
481	3131	3364
482	3133	3354
483	3139	3346
484	3148	3343
485	3153	3334
486	3155	3324
487	3158	3313
488	3160	3303
489	3163	3292
490	3166	3282
491	3171	3274
492	3173	3263
493	3175	3252
494	3178	3242
495	3218	3269
496	3224	3263
497	3259	3285
498	3260	3274
499	3263	3263
500	3267	3254
501	3269	3243
502	3271	3232
503	3274	3222
504	3279	3214
505	3284	3206
506	3287	3196
507	3302	3198
508	3304	3187
509	3307	3177
510	3309	3167
511	3314	3158
512	3316	3148
513	3318	3137
514	3320	3127
515	3323	3116
516	3325	3106
517	3329	3098
518	3331	3087
519	3333	3077
520	3373	3101
521	3377	3092
522	3379	3082
523	3381	3071
524	3383	3061
525	3385	3051
526	3388	3040
527	3390	3030
528	3394	3021
529	3396	3011
530	3398	3001
531	3400	2991
532	3402	2981
533	3404	2970
534	3446	2995
535	3447	2984
536	3449	2974
537	3451	2964
538	3453	2953
539	3457	2944
540	3462	2937
541	3465	2928
542	3468	2918
543	3472	2911
544	3475	2901
545	3478	2892
546	3480	2882
547	3507	2892
548	3509	2882
549	3511	2872
550	3513	2862
551	3515	2853
552	3526	2850
553	3528	2840
554	3531	2831
555	3535	2823
556	3538	2814
557	3540	2804
558	3543	2795
559	3546	2786
560	3548	2776
561	3552	2768
562	3554	2759
563	3556	2749
564	3559	2740
565	3562	2731
566	3565	2722
567	3567	2713
568	3572	2706
569	3575	2697
570	3578	2688
571	3580	2679
572	3582	2670
573	3587	2662
574	3589	2653
575	3594	2645
576	3597	2637
577	3600	2628
578	3604	2620
579	3607	2612
580	3610	2603
581	3612	2594
582	3615	2586
583	3621	2579
584	3623	2570
585	3626	2562
586	3629	2553
587	3632	2545
588	3635	2536
589	3638	2528
590	3641	2519
591	3644	2511
592	3647	2503
593	3650	2495
594	3653	2486
595	3656	2478
596	3658	2469
597	3661	2461
598	3666	2454
599	3669	2446
600	3672	2437
601	3674	2429
602	3676	2420
603	3680	2412
604	3682	2404
605	3686	2396
606	3689	2388
607	3694	2381
608	3697	2373
609	3700	2365
610	3703	2357
611	3705	2349
612	3710	2342
613	3712	2333
614	3714	2325
615	3717	2317
616	3720	2309
617	3722	2301
618	3727	2294
619	3731	2286
620	3733	2278
621	3736	2270
622	3738	2262
623	3742	2255
624	3744	2246
625	3747	2238
626	3750	2230
627	3752	2222
628	3756	2215
629	3758	2207
630	3761	2199
631	3764	2191
632	3766	2183
633	3770	2176
634	3772	2168
635	3775	2160
636	3778	2153
637	3781	2145
638	3783	2137
639	3788	2131
640	3792	2123
641	3794	2115
642	3797	2108
643	3801	2101
644	3804	2093
645	3807	2086
646	3809	2078
647	3813	2071
648	3818	2064
649	3821	2057
650	3823	2049
651	3826	2042
652	3829	2034
653	3834	2028
654	3837	2021
655	3840	2013
656	3842	2006
657	3847	1999
658	3855	1994
659	3857	1987
660	3860	1979
661	3863	1972
662	3865	1965
663	3868	1957
664	3878	1953
665	3881	1946
666	3884	1939
667	3886	1931
668	3897	1928
669	3903	1922
670	3909	1916
671	3911	1909
672	3916	1902
673	3919	1895
674	3927	1891
675	3930	1884
676	3933	1876
677	3948	1875
678	3974	1879
679	3978	1872
680	3980	1864
681	3984	1857
682	3987	1850
683	3990	1843
684	3993	1836
685	3999	1830
686	4002	1823
687	4008	1817
688	4014	1812
689	4018	1805
690	4020	1797
691	4024	1791
692	4039	1789
693	4048	1785
694	4051	1777
695	4054	1770
696	4057	1763
697	4061	1757
698	4064	1750
699	4067	1743
700	4070	1736
701	4077	1730
702	4080	1723
703	4082	1716
704	4090	1711
705	4093	1704
706	4096	1697
707	4099	1690
708	4102	1683
709	4114	1680
710	4117	1673
711	4123	1668
712	4126	1661
713	4129	1653
714	4132	1647
715	4134	1640
716	4138	1633
717	4160	1634
718	4163	1627
719	4170	1622
720	4173	1615
721	4176	1607
722	4178	1600
723	4181	1594
724	4184	1587
725	4187	1580
726	4190	1573
727	4193	1566
728	4198	1560
729	4201	1553
730	4210	1549
731	4216	1543
732	4220	1537
733	4222	1530
734	4224	1523
735	4234	1519
736	4237	1512
737	4240	1505
738	4245	1499
739	4248	1492
740	4252	1486
741	4255	1479
742	4262	1474
743	4265	1467
744	4268	1460
745	4271	1454
746	4277	1448
747	4279	1441
748	4282	1435
749	4285	1428
750	4288	1421
751	4294	1416
752	4296	1409
753	4299	1402
754	4301	1395
755	4305	1389
756	4309	1383
757	4311	1376
758	4314	1369
759	4317	1363
760	4322	1357
761	4325	1350
762	4327	1344
763	4330	1337
764	4332	1331
765	4337	1325
766	4340	1318
767	4342	1311
768	4345	1305
769	4347	1298
770	4353	1293
771	4355	1286
772	4357	1279
773	4359	1273
774	4362	1266
775	4364	1259
776	4368	1253
777	4370	1247
778	4373	1240
779	4375	1234
780	4378	1227
781	4380	1221
782	4383	1214
783	4386	1208
784	4388	1201
785	4391	1195
786	4393	1189
787	4396	1182
788	4399	1176
789	4402	1170
790	4405	1163
791	4408	1157
792	4412	1151
793	4414	1145
794	4416	1138
795	4420	1132
796	4423	1126
797	4428	1120
798	4431	1114
799	4433	1108
800	4435	1101
801	4437	1095
802	4442	1089
803	4445	1083
804	4448	1077
805	4450	1071
806	4453	1065
807	4458	1059
808	4460	1053
809	4462	1046
810	4465	1040
811	4468	1034
812	4473	1028
813	4475	1022
814	4477	1016
815	4479	1010
816	4481	1003
817	4484	997
818	4488	991
819	4490	985
820	4493	979
821	4495	973
822	4498	967
823	4500	961
824	4503	955
825	4506	949
826	4509	943
827	4512	937
828	4517	931
829	4520	925
830	4522	919
831	4525	913
832	4527	907
833	4529	901
834	4532	895
835	4535	889
836	4538	883
837	4541	877
838	4545	872
839	4549	866
840	4552	860
841	4555	854
842	4557	848
843	4563	843
844	4567	837
845	4570	831
846	4576	826
847	4579	820
848	4581	814
849	4584	809
850	4588	803
851	4593	797
852	4596	792
853	4598	786
854	4600	780
855	4635	779
856	4640	774
857	4644	768
858	4647	762
859	4650	757
860	4655	751
861	4659	745
862	4662	740
863	4665	734
864	4670	728
865	4674	723
866	4691	719
867	4694	713
868	4697	708
869	4700	702
870	4706	697
871	4709	691
872	4712	685
873	4716	679
874	4719	674
875	4722	668
876	4754	666
877	4757	660
878	4759	655
879	4766	649
880	4768	644
881	4772	638
882	4774	632
883	4783	627
884	4785	621
885	4788	616
886	4792	610
887	4797	605
888	4799	599
889	4803	593
890	4807	588
891	4814	582
892	4817	577
893	4820	571
894	4823	565
895	4829	560
896	4831	554
897	4833	548
898	4835	543
899	4837	537
900	4839	531
901	4844	526
902	4847	520
903	4850	515
904	4853	509
905	4859	504
906	4861	498
907	4863	492
908	4865	487
909	4867	481
910	4869	475
911	4874	470
912	4876	464
913	4879	459
914	4882	453
915	4884	447
916	4888	442
917	4891	436
918	4893	431
919	4895	425
920	4897	420
921	4899	414
922	4904	409
923	4907	403
924	4909	398
925	4913	392
926	4915	387
927	4919	381
928	4921	376
929	4924	370
930	4926	365
931	4929	359
932	4935	354
933	4939	349
934	4942	343
935	4944	338
936	4950	332
937	4952	327
938	4955	321
939	4957	316
940	4959	310
941	4961	305
942	4966	300
943	4968	294
944	4971	289
945	4973	283
946	4976	278
947	4982	273
948	4985	267
949	4988	262
950	4990	257
951	4996	251
952	4999	246
953	5002	241
954	5005	235
955	5008	230
956	5010	225
957	5013	219
958	5017	214
959	5020	209
960	5025	203
961	5028	198
962	5030	193
963	5034	187
964	5041	182
965	5044	177
966	5047	172
967	5051	166
968	5058	161
969	5061	156
970	5063	151
971	5066	145
972	5072	140
973	5114	136
974	5122	131
975	5124	126
976	5126	120
977	5128	115
978	5130	110
979	5141	104
980	5144	99
981	5146	94
982	5154	89
983	5159	83
984	5161	78
985	5169	73
986	5171	68
987	5173	62
988	5176	57
989	5183	52
990	5186	47
991	5188	41
992	5191	36
993	5200	31
994	5203	26
995	5206	20
996	5208	15
997	5217	10
998	5221	5
999	5225	0
